num_mules,num_sensors,advertisement_period,connection_time,ble_throughput,sample_period,sample_length,batch_period,batch_length
100,1000,2.0,1.5,125000.0,10.0,128,600.0,100000

sensor_id,mule_id,sample_time,pickup_time,batch_time,data_length
474,0,460.0,460.001024,600,128
474,0,470.0,470.001024,600,128
169,0,270.0,472.20102399999996,600,128
169,0,280.0,472.20204799999993,600,128
169,0,290.0,472.2030719999999,600,128
169,0,300.0,472.2040959999999,600,128
169,0,310.0,472.20511999999985,600,128
169,0,320.0,472.2061439999998,600,128
169,0,330.0,472.2071679999998,600,128
169,0,340.0,472.20819199999977,600,128
169,0,350.0,472.20921599999974,600,128
169,0,360.0,472.2102399999997,600,128
169,0,370.0,472.2112639999997,600,128
169,0,380.0,472.21228799999966,600,128
169,0,390.0,472.21331199999963,600,128
169,0,400.0,472.2143359999996,600,128
169,0,410.0,472.2153599999996,600,128
169,0,420.0,472.21638399999955,600,128
169,0,430.0,472.2174079999995,600,128
169,0,440.0,472.2184319999995,600,128
169,0,450.0,472.21945599999947,600,128
169,0,460.0,472.22047999999944,600,128
169,0,470.0,472.2215039999994,600,128
59,0,460.0,476.70102399999996,600,128
59,0,470.0,476.70204799999993,600,128
605,0,470.0,477.40102399999995,600,128
59,0,480.0,480.001024,600,128
474,0,480.0,480.001024,600,128
605,0,480.0,480.001024,600,128
293,0,450.0,487.401024,600,128
293,0,460.0,487.402048,600,128
293,0,470.0,487.40307199999995,600,128
293,0,480.0,487.4040959999999,600,128
474,0,490.0,490.001024,600,128
59,0,490.0,491.001024,600,128
59,0,500.0,500.001024,600,128
474,0,500.0,500.001024,600,128
474,0,510.0,510.001024,600,128
474,0,520.0,520.001024,600,128
59,0,510.0,526.001024,600,128
59,0,520.0,526.0020480000001,600,128
474,0,530.0,530.001024,600,128
385,0,330.0,531.301024,600,128
385,0,340.0,531.302048,600,128
385,0,350.0,531.303072,600,128
385,0,360.0,531.3040960000001,600,128
385,0,370.0,531.3051200000001,600,128
385,0,380.0,531.3061440000001,600,128
385,0,390.0,531.3071680000002,600,128
385,0,400.0,531.3081920000002,600,128
385,0,410.0,531.3092160000002,600,128
385,0,420.0,531.3102400000002,600,128
385,0,430.0,531.3112640000003,600,128
385,0,440.0,531.3122880000003,600,128
385,0,450.0,531.3133120000003,600,128
385,0,460.0,531.3143360000004,600,128
385,0,470.0,531.3153600000004,600,128
385,0,480.0,531.3163840000004,600,128
385,0,490.0,531.3174080000005,600,128
385,0,500.0,531.3184320000005,600,128
385,0,510.0,531.3194560000005,600,128
385,0,520.0,531.3204800000005,600,128
385,0,530.0,531.3215040000006,600,128
385,0,540.0,540.001024,600,128
474,0,540.0,540.001024,600,128
385,0,550.0,550.001024,600,128
474,0,550.0,550.001024,600,128
605,0,490.0,556.4010240000001,600,128
59,0,530.0,556.4010240000002,600,128
605,0,500.0,556.4020480000001,600,128
59,0,540.0,556.4020480000003,600,128
605,0,510.0,556.4030720000002,600,128
59,0,550.0,556.4030720000003,600,128
605,0,520.0,556.4040960000002,600,128
605,0,530.0,556.4051200000002,600,128
605,0,540.0,556.4061440000003,600,128
605,0,550.0,556.4071680000003,600,128
59,0,560.0,560.001024,600,128
474,0,560.0,560.001024,600,128
59,0,570.0,570.001024,600,128
474,0,570.0,570.001024,600,128
605,0,560.0,576.801024,600,128
605,0,570.0,576.802048,600,128
474,0,580.0,580.001024,600,128
605,0,580.0,580.001024,600,128
474,0,590.0,590.001024,600,128
605,0,590.0,593.201024,600,128
59,0,580.0,594.101024,600,128
59,0,590.0,594.1020480000001,600,128
474,0,600.0,600.001024,1200,128
605,0,600.0,600.001024,1200,128
293,0,490.0,607.001024,1200,128
293,0,500.0,607.0020480000001,1200,128
293,0,510.0,607.0030720000001,1200,128
293,0,520.0,607.0040960000001,1200,128
293,0,530.0,607.0051200000001,1200,128
293,0,540.0,607.0061440000002,1200,128
293,0,550.0,607.0071680000002,1200,128
293,0,560.0,607.0081920000002,1200,128
293,0,570.0,607.0092160000003,1200,128
293,0,580.0,607.0102400000003,1200,128
293,0,590.0,607.0112640000003,1200,128
293,0,600.0,607.0122880000004,1200,128
474,0,610.0,610.001024,1200,128
293,0,610.0,613.4010240000002,1200,128
474,0,620.0,620.001024,1200,128
474,0,630.0,630.001024,1200,128
59,0,600.0,630.101024,1200,128
59,0,610.0,630.1020480000001,1200,128
59,0,620.0,630.1030720000001,1200,128
59,0,630.0,630.1040960000001,1200,128
59,0,640.0,640.001024,1200,128
474,0,640.0,640.001024,1200,128
59,0,650.0,650.001024,1200,128
474,0,650.0,650.001024,1200,128
474,0,660.0,660.001024,1200,128
59,0,660.0,661.3010240000001,1200,128
474,0,670.0,670.001024,1200,128
76,0,0.0,679.1010240000002,1200,128
76,0,10.0,679.1020480000002,1200,128
76,0,20.0,679.1030720000002,1200,128
76,0,30.0,679.1040960000003,1200,128
76,0,40.0,679.1051200000003,1200,128
76,0,50.0,679.1061440000003,1200,128
76,0,60.0,679.1071680000003,1200,128
76,0,70.0,679.1081920000004,1200,128
76,0,80.0,679.1092160000004,1200,128
76,0,90.0,679.1102400000004,1200,128
76,0,100.0,679.1112640000005,1200,128
76,0,110.0,679.1122880000005,1200,128
76,0,120.0,679.1133120000005,1200,128
76,0,130.0,679.1143360000005,1200,128
76,0,140.0,679.1153600000006,1200,128
76,0,150.0,679.1163840000006,1200,128
76,0,160.0,679.1174080000006,1200,128
76,0,170.0,679.1184320000007,1200,128
76,0,180.0,679.1194560000007,1200,128
76,0,190.0,679.1204800000007,1200,128
76,0,200.0,679.1215040000008,1200,128
76,0,210.0,679.1225280000008,1200,128
76,0,220.0,679.1235520000008,1200,128
76,0,230.0,679.1245760000008,1200,128
76,0,240.0,679.1256000000009,1200,128
76,0,250.0,679.1266240000009,1200,128
76,0,260.0,679.1276480000009,1200,128
76,0,270.0,679.128672000001,1200,128
76,0,280.0,679.129696000001,1200,128
76,0,290.0,679.130720000001,1200,128
76,0,300.0,679.131744000001,1200,128
76,0,310.0,679.1327680000011,1200,128
76,0,320.0,679.1337920000011,1200,128
76,0,330.0,679.1348160000011,1200,128
76,0,340.0,679.1358400000012,1200,128
76,0,350.0,679.1368640000012,1200,128
76,0,360.0,679.1378880000012,1200,128
76,0,370.0,679.1389120000013,1200,128
76,0,380.0,679.1399360000013,1200,128
76,0,390.0,679.1409600000013,1200,128
76,0,400.0,679.1419840000013,1200,128
76,0,410.0,679.1430080000014,1200,128
76,0,420.0,679.1440320000014,1200,128
76,0,430.0,679.1450560000014,1200,128
76,0,440.0,679.1460800000015,1200,128
76,0,450.0,679.1471040000015,1200,128
76,0,460.0,679.1481280000015,1200,128
76,0,470.0,679.1491520000015,1200,128
76,0,480.0,679.1501760000016,1200,128
76,0,490.0,679.1512000000016,1200,128
76,0,500.0,679.1522240000016,1200,128
76,0,510.0,679.1532480000017,1200,128
76,0,520.0,679.1542720000017,1200,128
76,0,530.0,679.1552960000017,1200,128
76,0,540.0,679.1563200000018,1200,128
76,0,550.0,679.1573440000018,1200,128
76,0,560.0,679.1583680000018,1200,128
76,0,570.0,679.1593920000018,1200,128
76,0,580.0,679.1604160000019,1200,128
76,0,590.0,679.1614400000019,1200,128
76,0,600.0,679.1624640000019,1200,128
76,0,610.0,679.163488000002,1200,128
76,0,620.0,679.164512000002,1200,128
76,0,630.0,679.165536000002,1200,128
76,0,640.0,679.166560000002,1200,128
76,0,650.0,679.1675840000021,1200,128
