sensor ID,norm_secs (secs),time (days)
5.000000000000000000e+00,6.715597154344859882e+04,3.967682974153512623e+04
5.000000000000000000e+00,6.715927159119029238e+04,3.967683616997017089e+04
5.000000000000000000e+00,6.727477326214953791e+04,3.967687079066225124e+04
5.000000000000000000e+00,6.727807330989123147e+04,3.967687082885724521e+04
5.000000000000000000e+00,6.728137335763292504e+04,3.967687086705224647e+04
5.000000000000000000e+00,6.728467340537461860e+04,3.967687090524724044e+04
5.000000000000000000e+00,6.728797345311631216e+04,3.967687094344223442e+04
5.000000000000000000e+00,6.729127350085800572e+04,3.967687098163723567e+04
5.000000000000000000e+00,6.729457354859969928e+04,3.967687101983222965e+04
5.000000000000000000e+00,6.729787359634139284e+04,3.967687105802723090e+04
5.000000000000000000e+00,6.730117364408308640e+04,3.967687109622222488e+04
5.000000000000000000e+00,6.730447369182477996e+04,3.967687113441722613e+04
5.000000000000000000e+00,6.730777373956647352e+04,3.967687117261222011e+04
5.000000000000000000e+00,6.731107378730816708e+04,3.967687121080721408e+04
5.000000000000000000e+00,6.731437383504986065e+04,3.967687124900221534e+04
5.000000000000000000e+00,6.731767388279155421e+04,3.967687128719720931e+04
5.000000000000000000e+00,6.732097393053324777e+04,3.967687132539221057e+04
5.000000000000000000e+00,6.732427397827494133e+04,3.967687136358720454e+04
5.000000000000000000e+00,6.732757402601663489e+04,3.967687140178219852e+04
5.000000000000000000e+00,6.733087407375831390e+04,3.967687143997719977e+04
5.000000000000000000e+00,6.733417412150000746e+04,3.967687147817219375e+04
5.000000000000000000e+00,6.733747416924170102e+04,3.967687151636719500e+04
5.000000000000000000e+00,6.734077421698339458e+04,3.967687155456218898e+04
5.000000000000000000e+00,6.734407426472508814e+04,3.967687159275719023e+04
5.000000000000000000e+00,6.734737431246678170e+04,3.967687163095218420e+04
5.000000000000000000e+00,6.735067436020847526e+04,3.967687166914717818e+04
5.000000000000000000e+00,6.735397440795016882e+04,3.967687170734217943e+04
5.000000000000000000e+00,6.735727445569186239e+04,3.967687174553717341e+04
5.000000000000000000e+00,6.736057450343355595e+04,3.967687178373217466e+04
5.000000000000000000e+00,6.736387455117524951e+04,3.967687182192716864e+04
5.000000000000000000e+00,6.736717459891694307e+04,3.967687186012216989e+04
5.000000000000000000e+00,6.737047464665863663e+04,3.967687189831716387e+04
5.000000000000000000e+00,6.737377469440033019e+04,3.967687193651215784e+04
5.000000000000000000e+00,6.737707474214202375e+04,3.967687197470715910e+04
5.000000000000000000e+00,6.738037478988371731e+04,3.967687201290215307e+04
5.000000000000000000e+00,6.738367483762541087e+04,3.967687205109715433e+04
5.000000000000000000e+00,6.738697488536710443e+04,3.967687208929214830e+04
5.000000000000000000e+00,6.739027493310879800e+04,3.967687212748714228e+04
5.000000000000000000e+00,6.739357498085049156e+04,3.967687216568214353e+04
5.000000000000000000e+00,6.739687502859217057e+04,3.967687220387713751e+04
5.000000000000000000e+00,6.740017507633386413e+04,3.967687224207213876e+04
5.000000000000000000e+00,6.740347512407555769e+04,3.967687228026713274e+04
5.000000000000000000e+00,6.740677517181725125e+04,3.967687231846213399e+04
5.000000000000000000e+00,6.741007521955894481e+04,3.967687235665712797e+04
5.000000000000000000e+00,6.741337526730063837e+04,3.967687239485212194e+04
5.000000000000000000e+00,6.741667531504233193e+04,3.967687243304712320e+04
5.000000000000000000e+00,6.741997536278402549e+04,3.967687247124211717e+04
5.000000000000000000e+00,6.742327541052571905e+04,3.967687250943711842e+04
5.000000000000000000e+00,6.742657545826741261e+04,3.967687254763211240e+04
5.000000000000000000e+00,6.742987550600910618e+04,3.967687258582710638e+04
5.000000000000000000e+00,6.743317555375079974e+04,3.967687262402210763e+04
5.000000000000000000e+00,6.743647560149249330e+04,3.967687266221710161e+04
5.000000000000000000e+00,6.743977564923418686e+04,3.967687270041210286e+04
5.000000000000000000e+00,6.744307569697588042e+04,3.967687273860709684e+04
5.000000000000000000e+00,6.744637574471757398e+04,3.967687277680209809e+04
5.000000000000000000e+00,6.744967579245926754e+04,3.967687281499709206e+04
5.000000000000000000e+00,6.745297584020096110e+04,3.967687285319208604e+04
5.000000000000000000e+00,6.745627588794265466e+04,3.967687289138708729e+04
5.000000000000000000e+00,6.745957593568433367e+04,3.967687292958208127e+04
5.000000000000000000e+00,6.746287598342602723e+04,3.967687296777708252e+04
5.000000000000000000e+00,6.746617603116772079e+04,3.967687300597207650e+04
5.000000000000000000e+00,6.746947607890941435e+04,3.967687304416707047e+04
5.000000000000000000e+00,6.747277612665110792e+04,3.967687308236207173e+04
5.000000000000000000e+00,6.747607617439280148e+04,3.967687312055706570e+04
5.000000000000000000e+00,6.747937622213449504e+04,3.967687315875206696e+04
5.000000000000000000e+00,6.748267626987618860e+04,3.967687319694706093e+04
5.000000000000000000e+00,6.748597631761788216e+04,3.967687323514206219e+04
5.000000000000000000e+00,6.748927636535957572e+04,3.967687327333705616e+04
5.000000000000000000e+00,6.749257641310126928e+04,3.967687331153205014e+04
5.000000000000000000e+00,6.749587646084296284e+04,3.967687334972705139e+04
5.000000000000000000e+00,6.749917650858465640e+04,3.967687338792204537e+04
5.000000000000000000e+00,6.750247655632634996e+04,3.967687342611704662e+04
5.000000000000000000e+00,6.750577660406804353e+04,3.967687346431204060e+04
5.000000000000000000e+00,6.750907665180973709e+04,3.967687350250703457e+04
5.000000000000000000e+00,6.751237669955143065e+04,3.967687354070203583e+04
5.000000000000000000e+00,6.751567674729312421e+04,3.967687357889702980e+04
5.000000000000000000e+00,6.751897679503481777e+04,3.967687361709203105e+04
5.000000000000000000e+00,6.752227684277649678e+04,3.967687365528702503e+04
5.000000000000000000e+00,6.752557689051819034e+04,3.967687369348202628e+04
5.000000000000000000e+00,6.752887693825988390e+04,3.967687373167702026e+04
5.000000000000000000e+00,6.753217698600157746e+04,3.967687376987201424e+04
5.000000000000000000e+00,6.753547703374327102e+04,3.967687380806701549e+04
5.000000000000000000e+00,6.753877708148496458e+04,3.967687384626200947e+04
5.000000000000000000e+00,6.754207712922665814e+04,3.967687388445701072e+04
5.000000000000000000e+00,6.754537717696835170e+04,3.967687392265200469e+04
5.000000000000000000e+00,6.754867722471004527e+04,3.967687396084699867e+04
5.000000000000000000e+00,6.755197727245173883e+04,3.967687399904199992e+04
5.000000000000000000e+00,6.755527732019343239e+04,3.967687403723699390e+04
5.000000000000000000e+00,6.755857736793512595e+04,3.967687407543199515e+04
5.000000000000000000e+00,6.756187741567681951e+04,3.967687411362698913e+04
5.000000000000000000e+00,6.756517746341851307e+04,3.967687415182199038e+04
5.000000000000000000e+00,6.756847751116020663e+04,3.967687419001698436e+04
5.000000000000000000e+00,6.757177755890190019e+04,3.967687422821197833e+04
5.000000000000000000e+00,6.757507760664359375e+04,3.967687426640697959e+04
5.000000000000000000e+00,6.757837765438528731e+04,3.967687430460197356e+04
5.000000000000000000e+00,6.758167770212698088e+04,3.967687434279697482e+04
5.000000000000000000e+00,6.758497774986867444e+04,3.967687438099196879e+04
5.000000000000000000e+00,6.758827779761035345e+04,3.967687441918696277e+04
5.000000000000000000e+00,6.759157784535204701e+04,3.967687445738196402e+04
5.000000000000000000e+00,6.759487789309374057e+04,3.967687449557695800e+04
5.000000000000000000e+00,6.759817794083543413e+04,3.967687453377195925e+04
5.000000000000000000e+00,6.760147798857712769e+04,3.967687457196695323e+04
5.000000000000000000e+00,6.760477803631882125e+04,3.967687461016195448e+04
5.000000000000000000e+00,6.760807808406051481e+04,3.967687464835694846e+04
5.000000000000000000e+00,6.761137813180220837e+04,3.967687468655194243e+04
5.000000000000000000e+00,6.761467817954390193e+04,3.967687472474694368e+04
5.000000000000000000e+00,6.761797822728559549e+04,3.967687476294193766e+04
5.000000000000000000e+00,6.762127827502728906e+04,3.967687480113693891e+04
5.000000000000000000e+00,6.762457832276898262e+04,3.967687483933193289e+04
5.000000000000000000e+00,6.762787837051067618e+04,3.967687487752692687e+04
5.000000000000000000e+00,6.763117841825236974e+04,3.967687491572192812e+04
5.000000000000000000e+00,6.763447846599406330e+04,3.967687495391692210e+04
5.000000000000000000e+00,6.763777851373575686e+04,3.967687499211192335e+04
5.000000000000000000e+00,6.764107856147745042e+04,3.967687503030691732e+04
5.000000000000000000e+00,6.764437860921914398e+04,3.967687506850191858e+04
5.000000000000000000e+00,6.764767865696083754e+04,3.967687510669691255e+04
5.000000000000000000e+00,6.765097870470251655e+04,3.967687514489190653e+04
5.000000000000000000e+00,6.765427875244421011e+04,3.967687518308690778e+04
5.000000000000000000e+00,6.765757880018590367e+04,3.967687522128190176e+04
5.000000000000000000e+00,6.766087884792759723e+04,3.967687525947690301e+04
5.000000000000000000e+00,6.766417889566929080e+04,3.967687529767189699e+04
5.000000000000000000e+00,6.766747894341098436e+04,3.967687533586689096e+04
5.000000000000000000e+00,6.767077899115267792e+04,3.967687537406189222e+04
5.000000000000000000e+00,6.767407903889437148e+04,3.967687541225688619e+04
5.000000000000000000e+00,6.767737908663606504e+04,3.967687545045188745e+04
5.000000000000000000e+00,6.768067913437775860e+04,3.967687548864688142e+04
5.000000000000000000e+00,6.768397918211945216e+04,3.967687552684188267e+04
5.000000000000000000e+00,6.768727922986114572e+04,3.967687556503687665e+04
5.000000000000000000e+00,6.769057927760283928e+04,3.967687560323187063e+04
5.000000000000000000e+00,6.769387932534453284e+04,3.967687564142687188e+04
5.000000000000000000e+00,6.769717937308622641e+04,3.967687567962186586e+04
5.000000000000000000e+00,6.770047942082791997e+04,3.967687571781686711e+04
5.000000000000000000e+00,6.770377946856961353e+04,3.967687575601186109e+04
5.000000000000000000e+00,6.770707951631130709e+04,3.967687579420685506e+04
5.000000000000000000e+00,6.771037956405300065e+04,3.967687583240185631e+04
5.000000000000000000e+00,6.771367961179467966e+04,3.967687587059685029e+04
5.000000000000000000e+00,6.771697965953637322e+04,3.967687590879185154e+04
5.000000000000000000e+00,6.772027970727806678e+04,3.967687594698684552e+04
5.000000000000000000e+00,6.772357975501976034e+04,3.967687598518184677e+04
5.000000000000000000e+00,6.772687980276145390e+04,3.967687602337684075e+04
5.000000000000000000e+00,6.773017985050314746e+04,3.967687606157183473e+04
5.000000000000000000e+00,6.773347989824484102e+04,3.967687609976683598e+04
5.000000000000000000e+00,6.773677994598653459e+04,3.967687613796182995e+04
5.000000000000000000e+00,6.774007999372822815e+04,3.967687617615683121e+04
5.000000000000000000e+00,6.774338004146992171e+04,3.967687621435182518e+04
5.000000000000000000e+00,6.774668008921161527e+04,3.967687625254681916e+04
5.000000000000000000e+00,6.774998013695330883e+04,3.967687629074182041e+04
5.000000000000000000e+00,6.775328018469500239e+04,3.967687632893681439e+04
5.000000000000000000e+00,6.775658023243669595e+04,3.967687636713181564e+04
5.000000000000000000e+00,6.775988028017838951e+04,3.967687640532680962e+04
5.000000000000000000e+00,6.776318032792008307e+04,3.967687644352181087e+04
5.000000000000000000e+00,6.776648037566177663e+04,3.967687648171680485e+04
5.000000000000000000e+00,6.776978042340347019e+04,3.967687651991179882e+04
5.000000000000000000e+00,6.777308047114516376e+04,3.967687655810680008e+04
5.000000000000000000e+00,6.777638051888684276e+04,3.967687659630179405e+04
5.000000000000000000e+00,6.777968056662853633e+04,3.967687663449679530e+04
5.000000000000000000e+00,6.778298061437022989e+04,3.967687667269178928e+04
5.000000000000000000e+00,6.778628066211192345e+04,3.967687671088678326e+04
5.000000000000000000e+00,6.778958070985361701e+04,3.967687674908178451e+04
5.000000000000000000e+00,6.779288075759531057e+04,3.967687678727677849e+04
5.000000000000000000e+00,6.779618080533700413e+04,3.967687682547177974e+04
5.000000000000000000e+00,6.779948085307869769e+04,3.967687686366677372e+04
5.000000000000000000e+00,6.780278090082039125e+04,3.967687690186177497e+04
5.000000000000000000e+00,6.780608094856208481e+04,3.967687694005676894e+04
5.000000000000000000e+00,6.780938099630377837e+04,3.967687697825176292e+04
5.000000000000000000e+00,6.781268104404547194e+04,3.967687701644676417e+04
5.000000000000000000e+00,6.781598109178716550e+04,3.967687705464175815e+04
5.000000000000000000e+00,6.781928113952885906e+04,3.967687709283675940e+04
5.000000000000000000e+00,6.782258118727055262e+04,3.967687713103175338e+04
5.000000000000000000e+00,6.782588123501224618e+04,3.967687716922674736e+04
5.000000000000000000e+00,6.782918128275393974e+04,3.967687720742174861e+04
5.000000000000000000e+00,6.783248133049563330e+04,3.967687724561674258e+04
5.000000000000000000e+00,6.783578137823732686e+04,3.967687728381174384e+04
5.000000000000000000e+00,6.783908142597902042e+04,3.967687732200673781e+04
5.000000000000000000e+00,6.784238147372069943e+04,3.967687736020173907e+04
5.000000000000000000e+00,6.784568152146239299e+04,3.967687739839673304e+04
5.000000000000000000e+00,6.784898156920408655e+04,3.967687743659172702e+04
5.000000000000000000e+00,6.785228161694578012e+04,3.967687747478672827e+04
5.000000000000000000e+00,6.785558166468747368e+04,3.967687751298172225e+04
5.000000000000000000e+00,6.785888171242916724e+04,3.967687755117672350e+04
5.000000000000000000e+00,6.786218176017086080e+04,3.967687758937171748e+04
5.000000000000000000e+00,6.786548180791255436e+04,3.967687762756671145e+04
5.000000000000000000e+00,6.786878185565424792e+04,3.967687766576171271e+04
5.000000000000000000e+00,6.787208190339594148e+04,3.967687770395670668e+04
5.000000000000000000e+00,6.787538195113763504e+04,3.967687774215170793e+04
5.000000000000000000e+00,6.787868199887932860e+04,3.967687778034670191e+04
5.000000000000000000e+00,6.788198204662102216e+04,3.967687781854170316e+04
5.000000000000000000e+00,6.788528209436271572e+04,3.967687785673669714e+04
5.000000000000000000e+00,6.788858214210440929e+04,3.967687789493169112e+04
5.000000000000000000e+00,6.789188218984610285e+04,3.967687793312669237e+04
5.000000000000000000e+00,6.789518223758779641e+04,3.967687797132168635e+04
5.000000000000000000e+00,6.789848228532948997e+04,3.967687800951668760e+04
5.000000000000000000e+00,6.790178233307118353e+04,3.967687804771168157e+04
5.000000000000000000e+00,6.790508238081286254e+04,3.967687808590667555e+04
5.000000000000000000e+00,6.790838242855455610e+04,3.967687812410167680e+04
5.000000000000000000e+00,6.791168247629624966e+04,3.967687816229667078e+04
5.000000000000000000e+00,6.794138290597149171e+04,3.967687850605164567e+04
5.000000000000000000e+00,6.812948562724798103e+04,3.967746221715831780e+04
5.000000000000000000e+00,6.813278567498967459e+04,3.967747455519462528e+04
5.000000000000000000e+00,6.813608572273136815e+04,3.967748689323093276e+04
5.000000000000000000e+00,6.813938577047306171e+04,3.967749923126724025e+04
5.000000000000000000e+00,6.814268581821475527e+04,3.967751156930355501e+04
5.000000000000000000e+00,6.814598586595644883e+04,3.967752390733986249e+04
5.000000000000000000e+00,6.878289508010316058e+04,3.967820296283844073e+04
5.000000000000000000e+00,6.878619512784485414e+04,3.967820857596326823e+04
5.000000000000000000e+00,6.878949517558654770e+04,3.967821418908809574e+04
5.000000000000000000e+00,6.879279522332824126e+04,3.967821980221292324e+04
5.000000000000000000e+00,6.879609527106992027e+04,3.967822541533774347e+04
5.000000000000000000e+00,6.879939531881161383e+04,3.967823102846257098e+04
5.000000000000000000e+00,6.880269536655330739e+04,3.967823664158739848e+04
5.000000000000000000e+00,6.880599541429500096e+04,3.967824225471221871e+04
5.000000000000000000e+00,6.942970443747493846e+04,3.967883034980422235e+04
5.000000000000000000e+00,6.943300448521663202e+04,3.967883703471719491e+04
5.000000000000000000e+00,6.943630453295832558e+04,3.967884371963016019e+04
5.000000000000000000e+00,6.943960458070001914e+04,3.967885040454313275e+04
5.000000000000000000e+00,6.944290462844171270e+04,3.967885708945609804e+04
5.000000000000000000e+00,6.946270491489187407e+04,3.967888397644530050e+04
5.000000000000000000e+00,6.946600496263356763e+04,3.967888401464029448e+04
5.000000000000000000e+00,6.974980906841914111e+04,3.967888729941003839e+04
5.000000000000000000e+00,6.988841107357024157e+04,3.967905234808103705e+04
5.000000000000000000e+00,6.989171112131193513e+04,3.967905771232621191e+04
